variant,rank,combination,n_models,variant_acc,overall_acc
Przednowotworowe,1,EfficientNet + ViT,2,78.41,89.6026
Przednowotworowe,2,EfficientNet + ResNet50 + ViT,3,78.41,89.3576
Przednowotworowe,3,EfficientNet + MobileNetV3 + ViT,3,76.14,90.3647
Nowotworowe (rak skóry),1,EfficientNet + MobileNetV3 + ViT,3,81.77,90.3647
Nowotworowe (rak skóry),2,EfficientNet + MobileNetV3 + ResNet50 + ViT,4,79.97,89.6026
Nowotworowe (rak skóry),3,CustomCNN + EfficientNet + MobileNetV3 + ViT,4,79.37,89.521
Łagodne,1,EfficientNet + MobileNetV3 + ViT,3,81.64,90.3647
Łagodne,2,EfficientNet + ViT,2,80.39,89.6026
Łagodne,3,EfficientNet + MobileNetV3,2,78.78,88.7861
Wirusowe,1,CustomCNN + EfficientNet + ResNet50 + ViT,4,99.7,88.4322
Wirusowe,2,CustomCNN + EfficientNet + ViT,3,99.66,88.9494
Wirusowe,3,EfficientNet + ViT,2,99.61,89.6026
Zdrowe,1,EfficientNet + MobileNetV3 + ViT,3,100.0,90.3647
Zdrowe,2,EfficientNet + MobileNetV3 + ResNet50 + ViT,4,100.0,89.6026
Zdrowe,3,CustomCNN + EfficientNet + MobileNetV3 + ViT,4,100.0,89.521
Naczyniowe / Łagodne,1,EfficientNet + MobileNetV3,2,96.15,88.7861
Naczyniowe / Łagodne,2,EfficientNet,1,96.15,87.5885
Naczyniowe / Łagodne,3,CustomCNN + EfficientNet,2,96.15,87.534
